name,lon,lat,notes
ABI,-99.8634581,32.4813281,
ABR,-98.3687194,45.4173553,
ABQ,-106.816315,35.0437983,
ACK,-70.0266814,41.2818447,
ACT,-97.2690139,31.6622311,
ADM,-97.1682281,34.2115861,
AEX,-92.5009753,31.2567289,
AHN,-83.32475,33.9475833,
AIR,-80.8172539,40.0170167,
AKO,-103.17974,40.1555775,
ALB,-73.8031842,42.7472806,
ALS,-105.8155353,37.3491592,
AMG,-82.5080783,31.5365294,
ANW,-99.98968,42.5691106,
APA,-104.8452778,39.5752778,
APE,-82.5883008,40.15106,
ARG,-90.9536703,36.1099969,
ASP,-83.3942944,44.4491333,
ATL,-84.4350711,33.6290708,
AXC,-88.8564306,39.7375222,
BAE,-88.2843464,43.1168522,
BAM,-116.9222622,40.5691508,
BCE,-112.3038972,37.6891872,
BDF,-89.58787317,41.1597314,
BDL,-72.6885781,41.9410106,
BGR,-68.8739653,44.841795,
BIL,-108.6246475,45.8085592,
BFF,-103.4820228,41.8941611,
BIS,-100.6654058,46.7617608,
BJC,-105.1390186,39.9130206,
BJI,-95.0247536,47.5758697,
BKE,-117.8078567,44.8405944,
BKG,-93.2005444,36.5320825,
BKW,-81.1234556,37.7802997,
BNA,-86.6847717,36.1369608,
BOI,-116.1921317,43.55281,
BOS,-70.9895472,42.35745,
BOY,-108.2997122,43.4631519,
BPI,-110.1092119,42.5794453,
BRD,-94.0258933,46.3482208,
BRO,-97.3752714,25.9240742,
BTG,-122.5915367,45.7478111,
BTR,-91.2940625,30.4851308,
BTY,-116.7476467,36.8005839,
BUF,-78.6463389,42.9290014,
BUM,-94.4882308,38.2721064,
BVL,-113.7574172,40.7260975,
BVT,-87.06932,40.5561186,
BWG,-86.4434342,36.9287408,
BZA,-114.6028403,32.7681289,
CAV,-93.7588261,42.745805,
CDS,-100.2890275,34.369065,
CEW,-86.6791475,30.8261739,
CHE,-107.3048897,40.5200836,
CHS,-80.0378142,32.8943192,
CID,-91.7857067,41.8875319,
CIN,-94.7851583,42.0450194,
CIM,-104.8719997,36.4913969,
CJR,-77.8596389,38.5254722,
CLE,-81.8488028,41.4103825,
CLT,-80.9517533,35.1902886,
CME,-104.6212456,33.3374786,
CON,-71.5754531,43.2197869,
COS,-104.6991386,38.8163839,
COU,-92.2182739,38.8108233,
